,Image,Dice Coefficient,Accuracy
0,14-08-29 038.png,0.8036474164133739,99.37407240110988
1,14-08-29 045.png,0.7738317757009345,99.32920536635706
2,14-08-29 051.png,0.8433292533659731,99.6450238802117
3,14-08-29 057.png,0.47653429602888087,97.46932027723024
4,14-10-55 007.png,0.8169243287225386,99.72611464968153
5,14-10-55 009.png,0.9229011993146773,99.94174757281553
6,14-10-55 018.png,0.8962591592749711,99.87976755059782
7,14-10-55 021.png,0.8854961832061069,99.81246766683911
8,14-10-55 024.png,0.8345959595959596,99.70978975880304
9,14-10-55 027.png,0.8512476007677543,99.80941114616193
