,Image,Dice Coefficient,Accuracy
0,14-10-55 059.png,0.8921897460469573,99.80338183248132
1,14-10-55 060.png,0.8912875867386276,99.5338305807139
2,14-10-55 063.png,0.891005291005291,99.88276670574443
3,14-10-55 064.png,0.9375402446877013,99.98072227220152
4,14-10-55 065.png,0.8875946418171229,99.83176965383372
5,14-10-55 066.png,0.8920041536863966,99.90216540568746
6,14-10-55 067.png,0.950082281952825,100.0
7,14-10-55 068.png,0.8791832104367555,99.8249367827271
8,14-10-55 069.png,0.816747572815534,99.40007740936653
9,14-10-55 070.png,0.8493647912885662,99.63845309574538
10,14-10-55 071.png,0.8912608405603736,99.85874799357946
11,14-10-55 072.png,0.8602287166454892,99.86458602011865
12,14-10-55 073.png,0.8909657320872274,99.93550051599587
13,14-10-55 074.png,0.835799859055673,99.78193945613135
14,14-10-55 075.png,0.8128342245989305,99.4672315296232
15,14-10-55 076.png,0.8587022437841115,99.72876977720374
16,14-10-55 077.png,0.8160779537149817,99.61864132893801
17,14-10-55 078.png,0.7466007416563659,99.55952843632595
18,14-10-55 079.png,0.5451127819548872,98.08002061722827
19,14-10-55 080.png,0.8732071141709696,99.85736514522821
20,14-10-55 081.png,0.8896146309601568,99.86499517839923
21,14-10-55 082.png,0.8600543478260869,99.88434106534729
22,14-10-55 083.png,0.9331568497683653,99.95508501764517
23,14-10-55 084.png,0.930111038536904,99.98072970195273
24,14-10-55 085.png,0.899070385126162,99.98071731585037
25,14-10-55 086.png,0.8230088495575221,99.51700154559505
26,14-10-55 087.png,0.8356687898089172,99.80645161290323
27,14-10-55 088.png,0.8578712555768006,99.86459475143465
28,14-10-55 089.png,0.9157829070492826,99.97422514337264
29,14-10-55 090.png,0.9034700315457413,99.98066761180564
30,14-10-55 091.png,0.8362128541810643,99.73049281314168
31,14-10-55 092.png,0.7931034482758621,99.35354580127998
32,14-10-55 093.png,0.8189845474613686,99.35768507104392
33,14-10-55 094.png,0.7754342431761787,99.39319604931896
34,14-10-55 095.png,0.7321196358907672,98.92783769902414
35,14-10-55 096.png,0.7668133249528598,99.46403202892935
36,14-10-55 097.png,0.7408781694495981,99.09073321725673
37,14-10-55 098.png,0.8424279583077866,99.6965196616517
38,14-10-55 099.png,0.8334342822531798,99.37491944838253
39,14-10-55 100.png,0.8644470868014269,99.65766696809197
40,14-10-55 101.png,0.876649454962708,99.79917076962944
41,14-10-55 102.png,0.8285371702637889,99.43849231960759
